Timestamp,delta RT 412,delta RT 411,delta RT 410,delta RT 409,delta RT 408,delta RT 407,delta RT 415
12/10/2016 17:30,0.17545319,0.11906052,-0.29001808,-0.076848984,0.36694717,-0.4370823,0.051366806
12/10/2016 17:45,0.26691055,-0.062734604,-0.2771759,-0.014028549,0.2990265,-0.49229813,-0.08715248
12/10/2016 18:00,-0.08630943,0.034988403,-0.19739723,-0.002346039,0.3228836,-0.20903778,-0.108133316
12/10/2016 18:15,0.019498825,-0.006135941,-0.12612343,-0.42323685,0.43030357,-0.170887,-0.09002876
12/10/2016 18:30,0.1828537,-0.117544174,-0.34731293,-0.31889534,0.39065933,-0.016918182,-0.14775085
12/10/2016 18:45,0.15061188,-0.037612915,-0.33192825,-0.12114906,0.5051098,0.06618309,-0.09386444
12/10/2016 19:00,0.20701218,0.025438309,-0.14071846,0.007352829,0.66705704,-0.09239006,-0.11402893
12/10/2016 19:15,0.2792797,0.04468155,-0.13547516,0.05888939,0.6909256,-0.124492645,-0.09038353
12/10/2016 19:30,0.21075058,0.23538208,-0.16057396,0.07954407,0.54960823,-0.14209175,-0.031917572
12/10/2016 19:45,0.16102791,0.21985626,-0.5986557,-0.055150986,0.50439453,-0.32478714,0.043218613
12/10/2016 20:00,0.39159966,0.13225365,-0.6293049,-0.08294678,0.3172207,-0.14785385,-0.12798119
12/10/2016 20:15,0.33620453,0.08107185,-0.46157265,-0.22982407,0.3503456,-0.13417053,-0.079050064
12/10/2016 20:30,0.26254463,0.46409607,-0.1173439,-0.01823616,0.43724442,-0.11721802,-0.21631622
12/10/2016 20:45,-0.008708954,0.33729553,0.112508774,-0.08626938,0.51031876,-0.25563622,-0.20872307
12/10/2016 21:00,-0.13475227,0.32692337,0.099422455,-0.21801567,0.5298233,-0.3081913,0.013616562
12/10/2016 21:15,-0.16718864,0.25958824,-0.023796082,-0.08289909,0.23849678,-0.40347862,-0.11355591
12/10/2016 21:30,-0.17794037,0.17342949,-0.01604271,-0.08405876,0.2255001,-0.3388443,0.064302444
12/10/2016 21:45,-0.19402122,0.07173157,0.02539444,-0.21354294,0.008314133,-0.3739643,-0.030181885
12/10/2016 22:00,-0.008937836,0.049354553,0.17051125,-0.04190445,-0.14866638,-0.44982147,-0.19451141
12/10/2016 22:15,-0.16282082,-0.032230377,0.13322258,-0.113910675,-0.030035019,-0.5685177,-0.11572075
12/10/2016 22:30,0.104127884,-0.006719589,0.14916039,0.14042091,0.17605782,-0.4371872,-0.13158417
12/10/2016 22:45,0.49871063,-0.25601006,0.057767868,0.016048431,0.36165428,-0.10185623,0.013553619
12/10/2016 23:00,0.5505371,-0.30348587,-0.003450394,-0.11352348,0.3637886,-0.050283432,-0.18133354
12/10/2016 23:15,0.49157715,-0.42214966,0.015886307,-0.061079025,0.3790989,-0.05557823,-0.16662979
12/10/2016 23:30,0.13772392,-0.10320091,-0.06708145,0.003484726,0.36403084,-0.16164398,-0.12896538
12/10/2016 23:45,0.091184616,0.21783447,0.23745537,0.6189861,0.30407524,-0.29341125,-0.036987305
12/11/2016 0:00,0.32097626,0.46828842,0.28066254,0.5562973,0.17372322,-0.21798897,0.10042381
12/11/2016 0:15,0.38857841,0.21309471,0.2767582,0.3395214,0.15020561,-0.09537697,0.18494987
